หน่วยงาน/โครงการ,ชื่อผู้รับเหมา,ตำแหน่งงาน
คลังสินค้าและบริการ,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,Head Man สโตร์
บริการลูกค้า,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร
บริการลูกค้า,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างกระเบื้อง
บริการลูกค้า,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างปูน
บริการลูกค้า,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ช่างสี
บริการลูกค้า,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,Head Man งานสถาปัตย์
Artale Asoke Rama9,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Artale Asoke Rama9,หจก.จิตติพัฒน์ เจริญทรัพย์,เก็บงาน QC
Baan Sansiri Bangna,นายพัทรพล นงนุช,งานก่อ-ฉาบ
Baan Sansiri Bangna,นายพัทรพล นงนุช,งานติดต้ังแผ่น PRECAST
Baan Sansiri Bangna,บจก.คูริฮารา (ประเทศไทย),งานระบบ
Baan Sansiri Bangna,บจก.คูริฮารา (ประเทศไทย),งานระบบสุขาภิบาล
Baan Sansiri Bangna,บจก.ที.โอ.บี.ก่อสร้าง,งานโครงสร้าง
Baan Sansiri Bangna,บจก.ที.โอ.บี ก่อสร้าง,งานโครงสร้าง
Baan Sansiri Bangna,บจก.เที่ยงตรง คอนสตรัคชั่น ( นายศรายุทธ บูรณะ),งานโครงสร้าง
Baan Sansiri Bangna,บจก.เที่ยงตรง คอนสตรัคชั่น ( นายศรายุทธ บูรณะ),งานตัดเสาเข็ม
Baan Sansiri Bangna,บจก.พีรญา ก่อสร้าง,งานก่อ-ฉาบ
Baan Sansiri Bangna,บจก.พีรญา ก่อสร้าง,งานสถาปัตย์
Baan Sansiri Bangna,บจก.รอยยิ้มนักสู้ คอนสตรัคชั่น,งานโครงสร้าง
Baan Sansiri Bangna,บจก.รุ่งเรืองนาม,งานสี
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานเชฟตี้
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานบริการ / แม่บ้าน / ผช.ธุรการ
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานบริการ / ริกเกอร์ / ขับเครน
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานระบบไฟฟ้าประปา
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสโตร์
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
Baan Sansiri Bangna,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสำรวจ
Baan Sansiri Bangna,TEXCA WALL(SIAMESE ECOLITE CO.LTD),งานติดตั้งแผ่น Insee wall
Baan Sansiri Bangna,TEXCA WALL(SIAMESE ECOLITE CO.LTD),งานติดต้ังแผ่น PRECAST
Bloom Mental Wellness Hospital,นายประสิทธิ์  คงสันเทียะ,ช่างกระเบื้อง
Bloom Mental Wellness Hospital,นายสุนทร ชอบธรรม,งานกระเบื้อง
Bloom Mental Wellness Hospital,บจก.พีรญา ก่อสร้าง,งานก่อ-ฉาบ
Bloom Mental Wellness Hospital,บจก.พีรญา ก่อสร้าง,งานสถาปัตย์
Bloom Mental Wellness Hospital,บจก.รุ่งเรืองนาม,งานสี
Bloom Mental Wellness Hospital,บจก.วอ พูลสวัสดิ์,งานโครงหลังคา
Bloom Mental Wellness Hospital,บจก.หงษ์นำโชค,งานเทปรับ
Bloom Mental Wellness Hospital,บจก. เอ ไทม์ คอนสตรัคชั่น,งานถนน
Bloom Mental Wellness Hospital,บจก.CPP. DEVELOPMENT,งานผนัง privazy wall
Bloom Mental Wellness Hospital,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานเซฟตี้
Bloom Mental Wellness Hospital,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Bloom Mental Wellness Hospital,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานบริการ
Bloom Mental Wellness Hospital,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสโตร์
Bloom Mental Wellness Hospital,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสำรวจ
Bloom Mental Wellness Hospital,หจก.ฉลองชัย คอนสตรัคชั่น,งานก่อ-ฉาบ
Bloom Mental Wellness Hospital,หจก.ฉลองชัย คอนสตรัคชั่น,งานสถาปัตย์
Canopy by Hilton (CBH SKV12),นายสิทธิ์ศักดิ์ แสงอรุณ (สมพงษ์),งาน QC2
Canopy by Hilton (CBH SKV12),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Canopy by Hilton (CBH SKV12),หจก.จิตติพัฒน์ เจริญทรัพย์,งาน QC2
Escent Hatyai 2,บจก.เกตุบางราย คอนสตัคชั่น,งานโครงสร้าง
Escent Hatyai 2,บจก.แสงทวีสิน เอ็นจิเนียริ่ง,งานโครงสร้าง
Escent Hatyai 2,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Escent Hatyai 2,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้าและประปา
Escent Hatyai 2,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
Escent Hatyai 2,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้
Escent Hatyai 2,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้าน
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ขับเครน
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,โครงสร้าง
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้าและประปา
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซอร์เวย์
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,แม่บ้านสำนักงาน
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์
Escent Nakhon Si,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,HM.ริกเกอร์
Escent Nakhon Si,บริษัท วิทวัตร การก่อสร้าง จำกัด,งานโครงสร้าง
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,กรรมกร
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,ขับลิฟท์
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานไฟฟ้า
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานสถาปัตย์
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซฟตี้
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,เซอร์เวย์
Image 49,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,สโตร์
Live Ramintra,บจก.เค.ซี.เค.คอนสตรัคชั่น 2023,งานโครงสร้าง
Live Ramintra,บจก.ไชยนรินทร์ เอ็นจิเนียริ่ง,งานโครงสร้าง
Live Ramintra,บจก.ที.โอ.บี.ก่อสร้าง,งานโครงสร้าง
Live Ramintra,บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
Prannok-Tadmai (DH2),บจก.เกตุบางราย คอนสตัคชั่น,งานโครงสร้าง
Prannok-Tadmai (DH2),บจก.เค.ซี.เค.คอนสตรัคชั่น 2023,งานโครงสร้าง
Prannok-Tadmai (DH2),บจก.ซี ดีไซน์ เอ็นจิเนียริ่ง,งานระบบสุขาภิบาล
Prannok-Tadmai (DH2),บจก.ฐาณิกา ก่อสร้าง,งานติดตั้งบัวปูน
Prannok-Tadmai (DH2),บจก.รุ่งเรืองนาม,งานสี
Prannok-Tadmai (DH2),บจก.แสงทวีสิน เอ็นจิเนียริ่ง,งานโครงสร้าง
Prannok-Tadmai (DH2),บจก. เอ ไทม์ คอนสตรัคชั่น,งานถนน
Prannok-Tadmai (DH2),บจก.เอยูเอ็ม แอร์เซอร์วิส,งานระบบเครื่องปรับอากาศ
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานเซฟตี้
Prannok-Tadmai (DH2),บริษัท ที.ที.เอส. เอ็นจิเนียริ่ง (2004) จำกัด,งานทั่วไป
